,명동/ 남대문/ 북창,동대문 패션타운,종로/청계,신촌/ 홍대주변,강남역,이태원 (이태원 세계 음식거리  한남동),잠실,코엑스,광화문광장,한강/ 유람선,가로수길,여의도 (63빌딩),청담동/ 압구정동,DMC/ 월드컵경기장,반포 (고속버스 터미널  고투몰 ),서울역 / 서울로,이촌 (국립 중앙 빅믈관  용산 가족공원),마포,북한산,광진구 (건국 대학교  건대 입구역),서울대학교,삼성동,이화여대,영등포 (타임 스퀘어  영등포시장 등),구로,성동구,목동,노량진 (노량진 수산시장  사육신묘),가산디지털,시흥동 / 독산,대림,강남(sm타운 등),서초 (현대 자동차 본사),신림 / 봉천 / 낙성대,고려대학교,김포공항 주변,강서구,신도림,노원 / 상계,회기동(경희대학교),대학로 / 혜화동,관악산,상암동,왕십리,오류/개봉,흑석동 (중앙대  중앙대 병원),신라면세점,마곡,청량리,쉐라톤 워커힐 호텔,수유동,성북 (헤화문),충무로,서대문 (서대문 형무소),양재 (양재 시민의 숲 등),선릉/역삼,합정 / 성수,서울대부속병원,한국외대,성균관대학교,남영동/청파동/숙대입구,당산동,망원동,을지로,한양대학교,사당동,힐튼호텔,강남 세브란스병원,봉은사,방배동 (서래마을 등),연세대학교,성신여대,현대아산병원,국기원,세종대학교,순천향대학교 서울병원,한전아트센터,세종문화회관,더 플라자 호텔,제기동,답십리,서울둘레길,K-POP로드,동서울,삼성미술관 리움,송파
AUS,44.8,11.8,36.4,16.7,17.7,11.3,11.5,5.8,3.4,3.4,1.5,2.2,1.5,0.7,0,0,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0.2,0.2,0,0,0
USA,41.3,10,33.3,13.7,17.7,19.5,9.8,5.3,4.4,4.8,1.6,2.5,0.7,0.8,0.1,0.1,0.2,0.4,0.5,0.1,0.1,0.2,0.2,0.1,0.1,0,0,0.4,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0
ENG,36.9,10.5,32.1,15.5,19.9,11.5,8.8,5.9,3.9,4.8,1.3,4.1,0.6,0.7,0,0,0.5,0.2,0.4,0,0,0,0,0.1,0,0.2,0,0,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
GER,36.2,7.6,23.7,14.7,15,11.2,8.5,5.1,1.7,5.4,1.4,0.7,0.6,1.6,0,0,0,0.8,0,0,0.2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,47.3,11.7,34.5,23.1,20.2,13.4,6.5,7.2,4.2,5.6,0.9,2.8,0.5,0.4,0,0,0,0.6,0.8,0.1,0,0.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,48.7,18.7,20.6,10,15.3,11.1,12.6,5.5,5,3.2,0.5,2.8,1.3,1,0,0.1,0.3,0.1,0.9,0.1,0,0.1,0,0.2,0.1,0,0.3,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0,0.4,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0
EAS,48.1,22.8,21.3,11.8,16.3,12.3,14.9,7,2.1,4.8,1.8,2.8,1.1,0.6,0,0.1,0.8,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0.1,0,0,0,0,0.4,0.1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
