,명동/ 남대문/ 북창,동대문 패션타운,종로/청계,신촌/ 홍대주변,강남역,이태원 (이태원 세계 음식거리  한남동),잠실,코엑스,광화문광장,한강/ 유람선,가로수길,여의도 (63빌딩),청담동/ 압구정동,DMC/ 월드컵경기장,반포 (고속버스 터미널  고투몰 ),서울역 / 서울로,이촌 (국립 중앙 빅믈관  용산 가족공원),마포,북한산,광진구 (건국 대학교  건대 입구역),서울대학교,삼성동,이화여대,영등포 (타임 스퀘어  영등포시장 등),구로,성동구,목동,노량진 (노량진 수산시장  사육신묘),가산디지털,시흥동 / 독산,대림,강남(sm타운 등),서초 (현대 자동차 본사),신림 / 봉천 / 낙성대,고려대학교,김포공항 주변,강서구,신도림,노원 / 상계,회기동(경희대학교),대학로 / 혜화동,관악산,상암동,왕십리,오류/개봉,흑석동 (중앙대  중앙대 병원),신라면세점,마곡,청량리,쉐라톤 워커힐 호텔,수유동,성북 (헤화문),충무로,서대문 (서대문 형무소),양재 (양재 시민의 숲 등),선릉/역삼,합정 / 성수,서울대부속병원,한국외대,성균관대학교,남영동/청파동/숙대입구,당산동,망원동,을지로,한양대학교,사당동,힐튼호텔,강남 세브란스병원,봉은사,방배동 (서래마을 등),연세대학교,성신여대,현대아산병원,국기원,세종대학교,순천향대학교 서울병원,한전아트센터,세종문화회관,더 플라자 호텔,제기동,답십리,서울둘레길,K-POP로드,동서울,삼성미술관 리움,송파
AUS,72.9,38.2,62.3,36.8,47.2,33.4,30.3,20.7,13.5,11.9,6.3,7.3,7.6,2.8,1.1,0.3,0.4,0.8,0.2,0.4,0,0,0,0.3,0,0,0.3,0.5,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.4,0,0.1,0,0,0,0,0,0,0,0.3,0.3,0,0,0
USA,68.5,33.6,56.7,30,43.1,42,26.7,18.7,14.6,16.1,4.6,5.6,4.1,3.8,0.3,0.4,0.3,0.4,1.1,0.4,0.3,0.4,0.2,0.4,0.1,0,0.2,0.5,0.1,0,0,0,0.1,0.2,0,0.2,0.2,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0
ENG,66.4,40.3,59.9,36,50,33.3,25.3,22.3,14.1,14.3,5.6,8.6,4.2,3.6,0.5,0.5,0.7,0.3,0.5,0,0.4,0,0.4,0.4,0,0.2,0,0,0,0.4,0,0,0.4,0,0.6,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
GER,66.3,34.3,52.2,33.8,44,35.8,27.8,21.6,14,21,6.7,8,5.1,5.4,0,0,0,1.1,0,0,0.3,0,0,0,0,0,0,0.8,0,0.3,0,0,0,0,0.7,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,78.5,47.9,64.5,50.5,53.9,46,30.7,29,20.1,23.5,10.1,16.7,9.5,4.6,0,0.2,0,0.7,0.9,0.1,0,0.9,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,78.2,50,42.5,29,39.9,33.6,29.8,17,16.6,14.1,5,10.8,4.2,3.9,0,0.2,0.5,0.1,1.2,0.2,0,0.4,0,0.7,0.1,0,0.4,0.3,0,0,0,0,0,0,0.3,0.2,0.1,0,0,0.7,0,0,0,0,0,0.2,0,0.3,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0.7,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0.2,0,0
EAS,74.6,54.3,43,30.2,41.7,38.4,29.4,17.5,11.3,14.2,4.7,7.7,4.8,3.9,0.1,0.3,0.9,0.4,0,0,0,0.3,0,0,0.2,0.1,0.2,0,0,0,0,0.2,0,0,0,0,0,0.3,0.2,0.1,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0,0,0.8,0.1,0,0,0,0,0,0.3,0,0,0.7,0,0,0,0,0.2,0.3,0,0,0,0,0.2,0,0.2,0,0,0,0,0
